0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:40 +0530] "GET /project2/services/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:40 +0530] "GET /project2/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:40 +0530] "GET /project2/displayblog.html HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:40 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:40 +0530] "GET /bridgeware/display/22 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:41 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:41 +0530] "GET /project2/displayblog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:41 +0530] "GET /bridgeware/display/22 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:41 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:41 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:41 +0530] "GET /project2/displayblog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:41 +0530] "GET /bridgeware/seeallblog HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:41 +0530] "GET /bridgeware/display/22 HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:42 +0530] "GET /project2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:42 +0530] "GET /project2/displayblog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Mar/2018:14:52:42 +0530] "GET /bridgeware/display/22 HTTP/1.1" 200 124
